Date,PL
2018/4/19,29442
2018/4/20,29380
2018/4/21,26962
2018/4/22,26356
2018/4/23,31487
2018/4/24,31110
2018/4/25,29570
2018/4/26,29944
2018/4/27,30356
2018/4/28,26835
2018/4/29,26074
2018/4/30,30086
2018/5/1,28665
2018/5/2,32351
2018/5/3,30659
2018/5/4,30638
2018/5/5,27477
2018/5/6,27517
2018/5/7,32762
2018/5/8,31729
2018/5/9,30104
2018/5/10,30174
2018/5/11,30735
2018/5/12,27439
2018/5/13,27088
2018/5/14,32914
2018/5/15,33518
2018/5/16,34235
2018/5/17,34692
2018/5/18,35061
2018/5/19,30567
2018/5/20,29607
2018/5/21,34269
2018/5/22,34776
2018/5/23,34892
2018/5/24,34099
2018/5/25,35023
2018/5/26,30416
2018/5/27,30287
2018/5/28,36007
2018/5/29,36329
2018/5/30,36771
2018/5/31,36713
2018/6/1,33549
2018/6/2,29031
2018/6/3,28480
2018/6/4,34478
2018/6/5,35302
2018/6/6,35802
2018/6/7,35702
2018/6/8,36102
2018/6/9,31775
2018/6/10,29798
2018/6/11,32557
2018/6/12,33517
2018/6/13,34034
2018/6/14,33737
2018/6/15,31614
2018/6/16,28619
2018/6/17,27261
2018/6/18,27948
2018/6/19,32063
2018/6/20,32244
2018/6/21,33176
2018/6/22,33748
2018/6/23,30175
2018/6/24,29174
2018/6/25,35108
2018/6/26,35259
2018/6/27,35122
2018/6/28,35448
2018/6/29,34966
2018/6/30,30484
2018/7/1,29016
2018/7/2,33151
2018/7/3,34138
2018/7/4,33744
2018/7/5,33157
2018/7/6,34306
2018/7/7,30399
2018/7/8,28916
2018/7/9,34951
2018/7/10,34753
2018/7/11,31203
2018/7/12,34408
2018/7/13,34990
2018/7/14,31279
2018/7/15,29296
2018/7/16,35178
2018/7/17,36200
2018/7/18,36460
2018/7/19,36705
2018/7/20,35740
2018/7/21,31327
2018/7/22,29333
2018/7/23,34239
2018/7/24,35976
2018/7/25,35901
2018/7/26,35806
2018/7/27,35675
2018/7/28,31376
2018/7/29,30623
2018/7/30,36318
2018/7/31,36906
2018/8/1,37351
2018/8/2,36122
2018/8/3,36116
2018/8/4,31905
2018/8/5,29660
2018/8/6,36089
2018/8/7,36132
2018/8/8,36191
2018/8/9,35872
2018/8/10,36020
2018/8/11,31721
2018/8/12,30095
2018/8/13,34739
2018/8/14,34827
2018/8/15,33954
2018/8/16,34368
2018/8/17,35182
2018/8/18,30087
2018/8/19,28654
2018/8/20,34375
2018/8/21,34675
2018/8/22,34783
2018/8/23,34745
2018/8/24,30158
2018/8/25,29174
2018/8/26,28097
2018/8/27,32329
2018/8/28,31922
2018/8/29,32109
2018/8/30,31886
2018/8/31,32264
2018/9/1,28928
2018/9/2,28176
2018/9/3,33843
2018/9/4,35163
2018/9/5,35238
2018/9/6,34890
2018/9/7,34524
2018/9/8,29661
2018/9/9,26810
2018/9/10,31645
2018/9/11,33276
2018/9/12,34117
2018/9/13,34521
2018/9/14,34631
2018/9/15,29281
2018/9/16,28947
2018/9/17,35098
2018/9/18,35327
2018/9/19,34991
2018/9/20,35019
2018/9/21,34892
2018/9/22,30272
2018/9/23,27876
2018/9/24,27223
2018/9/25,32749
2018/9/26,31949
2018/9/27,31946
2018/9/28,31510
2018/9/29,26812
2018/9/30,25505
2018/10/1,30707
2018/10/2,30992
2018/10/3,30579
2018/10/4,29852
2018/10/5,30375
2018/10/6,27097
2018/10/7,25871
2018/10/8,30873
2018/10/9,31288
2018/10/10,27562
2018/10/11,29875
2018/10/12,29172
2018/10/13,26162
2018/10/14,25687
2018/10/15,30538
2018/10/16,31462
2018/10/17,30079
2018/10/18,30097
2018/10/19,29952
2018/10/20,26206
2018/10/21,25377
2018/10/22,30240
2018/10/23,30450
2018/10/24,30549
2018/10/25,31029
2018/10/26,31014
2018/10/27,25586
2018/10/28,24289
2018/10/29,28439
2018/10/30,29073
2018/10/31,29060
2018/11/1,28605
2018/11/2,28905
2018/11/3,26486
2018/11/4,25391
2018/11/5,29866
2018/11/6,30772
2018/11/7,30941
2018/11/8,31419
2018/11/9,30295
2018/11/10,26927
2018/11/11,25556
2018/11/12,29963
2018/11/13,29512
2018/11/14,29437
2018/11/15,29920
2018/11/16,29969
2018/11/17,26630
2018/11/18,25682
2018/11/19,29184
2018/11/20,29730
2018/11/21,30019
2018/11/22,28817
2018/11/23,28416
2018/11/24,24811
2018/11/25,24821
2018/11/26,28884
2018/11/27,29017
2018/11/28,28956
2018/11/29,28691
2018/11/30,28562
2018/12/1,25636
2018/12/2,24981
2018/12/3,28963
2018/12/4,29868
2018/12/5,29406
2018/12/6,30019
